模板ID	模板	审核状态	未通过原因	操作
91298	【Forexroo】亲爱的#name#，您关注的大师已经操作，详情请登录手机客户端查看。	审核通过	无	[编辑]
91297	【Forexroo】亲爱的代理商#name#，您的出金申请金额为：$#money#已失败，资金已返回代理商账户，详情请登录管理后台查看。	审核通过	无	[编辑]
91296	【Forexroo】亲爱的#name#，您的出金申请金额为：$#money#已失败，资金已返回交易账户，详情请登录手机客户端查看。	审核通过	无	[编辑]
91295	【Forexroo】亲爱的#name#，您的出金申请已提交，金额：$#money#，请注意查收银行账户，详情请登录手机客户端查看。	审核通过	无	[编辑]
91294	【Forexroo】亲爱的#name#，您的银行卡解绑成功，详情请登录手机客户端查看。	审核通过	无	[编辑]
91293	【Forexroo】亲爱的#name#，您正在解绑银行卡，验证码是#code#。如非本人操作，请忽略本短信。	审核通过	无	[编辑]
91292	【Forexroo】亲爱的#name#，您的银行卡已绑定成功，详情请登录手机客户端查看。	审核通过	无	[编辑]
91291	【Forexroo】亲爱的#name#，您正在绑定银行卡，验证码是#code#。如非本人操作，请忽略本短信。	审核通过	无	[编辑]
91290	【Forexroo】亲爱的经纪人#name#，您今日的返佣已经结算，金额：$#money#，详情请登录手机客户端查看。	审核通过	无	[编辑]
91289	【Forexroo】亲爱的#name#，恭喜您，您的经纪人审核已通过，快去邀请更多人加入吧。	审核通过	无	[编辑]
91288	【Forexroo】亲爱的#name#，您的实名认证开户未通过审核，详情请登录手机客户端查看。	审核通过	无	[编辑]
91287	【Forexroo】亲爱的#name#，您的经纪人申请已提交，请耐心等待工作人员审核，审核结果会以短信通知。	审核通过	无	[编辑]
91286	【Forexroo】亲爱的#name#，恭喜您，您的实名认证开户认证成功，祝您投资愉快。	审核通过	无	[编辑]
91285	【Forexroo】亲爱的#name#，您的实名认证开户未通过审核，详情请登录手机客户端查看。	审核通过	无	[编辑]
91284	【Forexroo】亲爱的#name#，您的实名认证开户已经提交，请耐心等待工作人员审核，审核结果将会以短信通知。	审核通过	无	[编辑]
91283	【Forexroo】您正在修改手机号，验证码是#code#。如非本人操作，请忽略本短信。	审核通过	无	[编辑]
91282	【Forexroo】您正在修改密码，验证码是#code#。如非本人操作，请忽略本短信。	审核通过	无	[编辑]
91281	【Forexroo】您正找回密码，验证码是#code#。如非本人操作，请忽略本短信。	审核通过	无	[编辑]
91280	【Forexroo】您正在注册，验证码是#code#。如非本人操作，请忽略本短信。	审核通过	无	[编辑]
